circuit_id,year,round,n_zones,total_zone_length_m,source_url,source_type,note
albert_park,2000,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
catalunya,2000,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
hockenheimring,2000,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
hungaroring,2000,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
imola,2000,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
indianapolis,2000,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
interlagos,2000,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
magny_cours,2000,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
monaco,2000,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
monza,2000,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
nurburgring,2000,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
osterreichring,2000,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
sepang,2000,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
silverstone,2000,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
spa,2000,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
suzuka,2000,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
villeneuve,2000,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
albert_park,2001,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
catalunya,2001,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
hockenheimring,2001,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
hungaroring,2001,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
imola,2001,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
indianapolis,2001,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
interlagos,2001,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
magny_cours,2001,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
monaco,2001,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
monza,2001,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
nurburgring,2001,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
osterreichring,2001,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
sepang,2001,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
silverstone,2001,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
spa,2001,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
suzuka,2001,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
villeneuve,2001,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
albert_park,2002,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
catalunya,2002,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
hockenheimring,2002,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
hungaroring,2002,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
imola,2002,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
indianapolis,2002,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
interlagos,2002,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
magny_cours,2002,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
monaco,2002,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
monza,2002,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
nurburgring,2002,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
osterreichring,2002,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
sepang,2002,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
silverstone,2002,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
spa,2002,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
suzuka,2002,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
villeneuve,2002,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
albert_park,2003,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
catalunya,2003,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
hockenheimring,2003,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
hungaroring,2003,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
imola,2003,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
indianapolis,2003,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
interlagos,2003,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
magny_cours,2003,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
monaco,2003,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
monza,2003,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
nurburgring,2003,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
osterreichring,2003,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
sepang,2003,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
silverstone,2003,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
suzuka,2003,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
villeneuve,2003,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
albert_park,2004,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
bahrain,2004,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
catalunya,2004,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
hockenheimring,2004,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
hungaroring,2004,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
imola,2004,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
indianapolis,2004,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
interlagos,2004,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
magny_cours,2004,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
monaco,2004,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
monza,2004,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
nurburgring,2004,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
sepang,2004,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
shanghai,2004,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
silverstone,2004,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
spa,2004,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
suzuka,2004,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
villeneuve,2004,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
albert_park,2005,,0,,https://en.wikipedia.org/wiki/Drag_reduction_system,documented,DRS was introduced in 2011; no zones existed before that
